time,X_value,Y_value,Z_value
10.760,17.32950,-21.16589,41.28342
10.837,8.24652,-14.44986,47.55148
10.917,13.67925,-11.62601,43.91928
10.999,2.21801,-12.94039,45.38378
11.084,-7.24981,-17.38605,47.66610
11.157,-14.51818,-19.46769,48.47753
11.234,-21.53759,-19.75513,49.19749
11.314,-25.05782,-18.65199,50.80721
11.395,-30.02831,-20.24282,47.93998
11.475,-33.10684,-18.18958,46.87803
11.561,-38.06929,-17.73351,45.63605
11.640,-38.23646,-18.97441,44.65576
11.712,-36.30314,-17.89199,48.60420
11.791,-35.87497,-16.81746,52.53998
11.869,-34.57887,-16.03753,54.91107
198.146,-14.12013,-8.13225,-155.57588
198.218,-12.81475,-5.91128,-156.89417
198.264,-9.21554,-4.88865,-156.72417
198.297,-5.89414,-5.14164,-155.00926
198.377,-6.20479,-7.29026,-155.71741
198.417,-5.87423,-6.66490,-156.29878
198.456,-5.52650,-5.71058,-157.29797
198.497,-4.99123,-4.96416,-158.82649
198.575,-5.74144,-6.87293,-158.96471
198.618,-7.26808,-7.23359,-159.81673
198.673,-5.56416,-4.55259,-161.23068
198.700,-3.16821,-1.80053,-162.57475
198.773,-1.72968,-2.39581,-164.41104
198.815,-2.53858,-2.99746,-164.72923
198.853,-3.28851,-3.17616,-164.69688
198.893,-4.24358,-2.99291,-164.95529
198.972,-5.61376,-3.06449,-165.89955
199.012,-5.54758,-3.17813,-166.33379
199.051,-5.65863,-3.45578,-166.75630
199.099,-5.37022,-3.43099,-166.98985
199.177,-4.68250,-3.86012,-167.43695
199.222,-4.13139,-4.18057,-167.76721
199.253,-4.01442,-4.83947,-168.29082
199.296,-3.92868,-5.30147,-168.59158
199.374,-3.29314,-7.13652,-169.65694
199.409,-2.95117,-7.48474,-169.73680
199.449,-2.54948,-8.48664,-169.83763
199.496,-1.97253,-9.25163,-169.81155
199.574,-0.83274,-10.10374,-169.53003
199.610,-0.46971,-10.79598,-169.45549
199.647,-0.46969,-10.90771,-169.21504
199.687,-0.81708,-11.30209,-168.81400
199.773,-0.25909,-11.94530,-168.52670
199.806,-0.08394,-12.17610,-168.49037
199.847,0.11792,-12.72659,-168.73318
199.905,0.45056,-12.65529,-168.91649
199.965,1.17652,-11.69460,-169.03836
200.005,1.52171,-10.92547,-169.05594
200.054,0.67164,-10.86953,-169.59036
200.086,-1.72950,-10.43852,-170.21375
200.124,-3.96089,-8.82417,-170.76204
200.206,-5.23452,-8.56556,-170.97125
200.243,-5.92562,-8.65086,-170.42903
200.282,-6.27496,-9.17918,-170.32393
