time,X_value,Y_value,Z_value
198.852,0.83062,3.00131,9.29906
198.892,0.99381,2.95758,9.29707
198.971,1.25184,2.94827,9.26882
199.011,1.25847,2.94388,9.26932
199.050,1.28554,2.96115,9.26010
199.090,1.24649,2.95225,9.26827
199.177,1.13746,2.99419,9.26884
199.222,1.05808,3.04086,9.26305
199.253,1.05444,3.13552,9.23185
199.296,1.04957,3.20550,9.20834
199.374,0.97584,3.47590,9.11791
199.407,0.92320,3.53094,9.10223
199.448,0.84175,3.64701,9.06428
199.496,0.74781,3.76532,9.02405
199.574,0.54764,3.87041,8.99391
199.610,0.48740,3.97790,8.95037
199.646,0.47621,3.99383,8.94388
199.685,0.51423,4.05500,8.91420
199.773,0.41805,4.14657,8.87703
199.805,0.38867,4.17993,8.86270
199.847,0.36701,4.26286,8.82404
199.905,0.32158,4.24716,8.83338
199.964,0.20632,4.08537,8.91277
200.005,0.15223,3.96400,8.96849
200.054,0.30455,3.93900,8.97563
200.086,0.70479,3.86690,8.98447
200.122,1.08197,3.60761,9.05455
200.206,1.29114,3.56219,9.04512
200.242,1.37847,3.57816,9.02591
200.282,1.41384,3.64432,8.99391
200.327,1.31157,3.66620,9.00051
200.485,0.85643,3.62156,9.07310
200.615,0.34979,3.55858,9.13152
200.661,-0.08727,3.29098,9.23755
200.727,-0.17786,3.19471,9.26998
200.841,-0.26874,3.04462,9.31818
200.908,-0.29880,2.99992,9.33175
200.959,-0.23979,3.00513,9.33178
201.088,0.08049,3.17787,9.27713
201.139,0.07373,3.24140,9.25517
201.197,0.04810,3.38003,9.20562
201.317,0.14194,3.54910,9.14079
201.381,0.11900,3.59310,9.12392
236.365,-1.09750,3.07859,9.24598
236.434,-1.45507,2.87389,9.26250
236.487,-1.84754,2.92508,9.17610
236.624,-2.48540,2.94216,9.01870
236.665,-2.59136,3.14069,8.92139
236.725,-1.96851,3.33681,9.00894
236.850,-1.55738,3.60686,8.98529
236.912,-1.32036,3.38496,9.10874
236.967,-1.23698,3.42503,9.10546
237.086,-1.20277,3.43168,9.10754
237.150,-1.06295,3.43766,9.12266
237.210,-0.89319,3.39424,9.15706
237.321,-0.72045,3.69012,9.05728
