time,X_value,Y_value,Z_value
198.574,-1.66428,-1.62055,0.84892
198.618,-0.71333,-1.57475,-1.30794
198.664,-0.25427,-1.42477,1.66408
198.693,-0.30764,-1.44043,2.91345
198.772,-0.65666,-1.39228,0.18602
198.815,-0.76631,-1.12092,0.57424
198.852,-1.28812,-1.57158,-0.06947
198.892,-1.14458,-1.62096,0.61978
198.971,-1.13725,-1.51411,0.64907
199.011,-1.07082,-1.36373,0.56961
199.050,-0.76827,-1.27237,0.29376
199.090,-1.06832,-1.43529,0.83792
199.177,-0.98380,-1.55375,0.56170
199.222,-1.24379,-1.57777,0.86496
199.253,-0.61426,-1.28964,0.13761
199.296,-0.94630,-1.29820,0.87660
199.374,-0.20124,-0.84172,-0.06429
199.408,-0.89811,-1.09832,1.57253
199.448,-0.72437,-1.11581,0.41324
199.496,-0.89578,-1.03701,-0.19333
199.574,-1.12396,-1.19517,0.33504
199.610,-1.01635,-1.13804,-0.30114
199.646,-1.24027,-1.17583,0.88801
199.685,-1.54758,-1.40935,0.97844
199.773,-1.49421,-1.37618,0.85985
199.805,-1.55347,-1.46863,1.02563
199.847,-1.21155,-1.33054,-0.42917
199.905,-1.12976,-1.30869,0.00623
199.964,-0.88862,-1.24688,0.01629
200.005,-1.65328,-1.29606,1.04167
200.054,-1.11485,-1.12333,0.07877
200.086,-0.89917,-0.89304,-1.36464
200.122,-0.47058,-1.31670,2.64842
200.206,-0.77879,-0.83487,0.85878
200.242,-1.44311,-1.26381,1.11859
200.282,-1.00871,-1.24012,0.32989
200.327,-0.73447,-1.15839,0.26632
200.485,-0.91240,-1.05000,0.13524
200.615,-1.12925,-1.18754,-0.16226
200.661,-1.04486,-1.14473,0.36240
200.727,-0.86582,-1.08199,-0.61846
200.841,-1.13035,-1.16627,0.61473
200.908,-0.93887,-1.02631,0.70432
200.959,-0.87018,-1.02025,0.16616
201.088,-0.43361,-0.97409,-0.43737
201.139,-1.16610,-1.07688,0.44208
