time,X_value,Y_value,Z_value
279.826,0.99886,-0.11543,2.02228
279.904,-0.87305,0.43366,4.54086
279.988,2.92254,-2.77732,2.77875
280.064,-0.32257,-0.95525,-1.66307
280.143,0.52721,-0.10683,-1.97884
280.222,1.78936,-0.79150,-3.62352
280.304,0.86243,-0.27223,0.06473
280.381,-1.26880,-0.31262,2.19905
280.463,0.04341,-1.10756,4.32956
280.540,0.06546,-2.11361,0.19409
280.627,0.23374,-0.82319,-0.96132
280.698,1.48487,-1.81370,-4.22079
280.780,0.54535,-0.49896,-2.70823
280.857,0.79325,-0.45036,4.10020
280.939,1.25713,-0.22032,5.93807
281.016,3.90169,-2.66941,-1.26269
281.096,1.56306,-1.40520,0.11779
281.175,1.16432,-0.25629,-3.11325
281.258,1.62444,-1.11766,-3.40364
281.334,1.18402,0.07795,0.34349
281.420,1.10550,0.01595,1.39038
281.494,0.42804,-0.17658,5.78867
281.580,0.84443,-1.43071,1.34290
281.652,-0.37984,-1.11041,1.36325
281.737,0.95434,-1.81372,-3.72777
281.810,0.49963,-0.98161,-1.73897
281.896,1.60750,-0.26683,-1.01296
281.969,1.20468,0.52873,2.53745
282.051,2.99023,-1.18010,2.41719
282.128,3.68745,-3.07269,-0.78378
282.209,0.45641,-0.40000,0.54690
282.287,0.11139,0.04304,-1.77864
282.367,1.81839,0.43492,-2.85092
282.450,2.16217,0.02713,-0.18340
282.525,-1.05618,2.79312,7.12643
282.606,-0.11305,-0.79180,1.75881
282.685,0.63094,-2.50819,-0.10862
282.764,0.40800,0.41880,-1.45531
282.846,1.48572,-0.89514,-2.72311
282.924,1.07023,1.11122,2.48945
283.004,-0.21546,-0.44058,3.18808
283.083,2.17896,-1.72943,4.12073
283.169,3.59269,-4.01990,-5.29736
283.239,0.81899,-0.86723,0.52479
283.321,0.54622,1.07406,-1.87479
283.398,1.67786,-0.57022,-3.09082
283.481,0.94637,0.70648,0.48230
283.557,-1.32426,1.33201,3.02740
283.640,-0.14893,-0.03395,3.23794
283.717,1.38728,-3.20763,0.62460
283.798,0.30209,-0.70634,-0.15207
283.880,0.21224,-0.34425,-4.47708
283.954,0.69771,0.17083,-2.53470
287.024,0.33569,-0.60188,-1.56864
287.109,0.07694,-0.80469,-2.68956
287.186,0.07526,0.61787,-0.79668
287.271,1.08287,0.64768,0.52007
287.344,1.47364,0.55848,2.65578
287.427,2.57930,-0.86657,-0.10499
287.508,2.34373,-0.62329,-0.96178
287.587,0.73252,0.38973,-0.54639
287.664,0.05287,-0.12627,-2.60750
287.755,0.66005,0.70665,-1.58942
287.821,0.57072,0.43699,1.20950
287.913,0.37819,2.26369,4.89645
287.981,0.39347,-0.44909,-0.39014
288.060,-0.75008,-0.90665,1.73648
288.139,2.24279,-0.01851,-2.78328
288.233,1.44894,-1.72049,-2.57889
288.301,-1.65416,0.63880,-2.24554
288.394,0.51053,1.39929,1.75072
288.457,2.03652,0.60622,3.01362
288.542,3.47984,-0.91966,1.52868
288.624,-0.55647,-0.24202,-1.82824
288.707,1.16489,-0.26155,-1.17845
288.804,0.38840,-0.14626,-3.55151
288.875,-0.14057,0.89608,-0.44458
288.935,1.39922,2.28184,1.93680
289.016,-0.92344,0.36070,5.32553
289.098,-0.71410,-0.22595,-2.28856
289.186,-0.49134,-1.12224,1.03155
289.256,0.46594,-0.82108,-3.31859
289.336,0.61348,0.52271,-2.28947
289.409,1.10637,0.66761,1.54918
289.494,2.43613,1.19300,2.11621
289.573,2.34147,-0.44095,0.67656
289.655,2.53630,-1.29567,-1.03869
289.732,0.33674,0.26142,-0.09456
289.813,-0.09595,-0.32733,-3.42616
289.891,0.72112,0.17912,-2.32203
289.975,-0.58019,0.79268,0.00075
290.044,-0.44976,2.77098,2.48780
290.128,0.47980,-0.07048,1.13554
290.203,-1.10064,-0.84357,0.31297
290.286,0.89375,-0.16964,-4.37708
290.363,0.57943,-0.48701,-2.99117
290.451,-0.52273,1.08455,-1.34401
290.522,0.59565,1.50759,1.98611
290.605,3.66685,-0.14176,5.47471
290.683,3.37334,-1.58671,-0.07757
290.761,-0.16395,0.09633,-0.86112
290.844,1.38936,0.94616,-3.19542
290.928,0.05186,0.09639,-4.37051
291.000,1.27392,1.01076,0.01088
291.083,0.55403,0.84781,6.49432
291.158,-0.97280,-0.92283,5.65997
291.243,0.74241,-0.05433,-4.32016
291.314,-1.13891,-1.09811,1.68915
291.401,0.83054,-0.03695,-3.37733
291.477,0.32636,0.87825,-2.11603
291.568,0.83806,0.48011,1.64291
291.635,2.81504,1.19072,2.19459
291.742,1.45713,-0.75070,0.78806
291.791,3.08115,-1.04701,-1.73418
291.879,-0.23170,0.53992,-0.67864
291.957,0.00259,-0.04928,-2.71265
292.043,-0.31192,0.08767,-2.38709
292.109,-0.14616,0.60292,2.51410
292.203,1.20955,2.98679,1.11029
292.267,0.57510,-0.52824,-1.14458
292.353,-1.77284,-0.76895,1.66184
292.427,1.28458,-0.10655,-1.93186
292.509,0.16563,-0.48823,-2.83650
292.586,-0.33300,0.54147,-1.34417
292.670,0.46369,1.60502,1.35301
292.745,1.79598,0.91442,4.08391
292.827,3.68240,-1.29690,1.52411
292.903,0.31403,0.40717,-1.28204
292.998,0.70966,-0.02971,-2.10794
293.064,0.00938,-0.07778,-2.52328
293.148,-0.17132,0.76191,-0.75779
293.221,1.76123,2.81899,2.72448
293.316,-1.11346,-1.17864,3.28432
293.384,-1.58534,-0.04116,-0.27933
293.474,-0.13601,-0.52200,0.46246
293.547,0.49354,-0.96622,-2.91647
293.630,0.44394,0.72430,-1.24908
293.698,0.49827,0.94163,1.19690
293.782,0.72825,0.75450,1.63820
293.856,2.84125,-0.35397,-0.81029
293.942,2.02094,-0.41383,-0.35998
294.017,0.08015,0.17746,-0.60017
294.099,0.15316,-0.04876,-2.79059
294.180,0.25967,0.37697,-1.01695
294.264,-0.12900,0.63172,2.37287
294.332,0.38013,3.84275,0.05301
294.418,-0.85399,0.10525,2.71981
294.491,-0.99142,-1.72361,-0.13797
294.579,-0.38260,-0.26912,-2.57058
294.653,-0.33710,-0.50421,-2.06749
294.745,0.29656,0.85127,-1.50303
294.809,-0.04538,1.37173,1.82241
294.892,2.81935,0.83848,3.55158
294.968,3.51906,-1.62322,-1.42940
295.054,0.13139,0.15997,0.08464
295.127,0.55477,0.41839,-2.44372
295.214,-0.27471,-0.40157,-2.69992
295.287,0.69656,0.30385,-1.02290
295.374,0.36258,1.25954,-0.21323
295.444,0.91838,0.74180,5.17433
295.544,-0.28782,0.00061,-2.28506
295.603,-1.55139,0.02736,3.20592
295.687,1.49063,0.26204,0.15877
295.770,0.02024,0.60727,-2.88485
295.846,0.89543,-0.01104,2.08441
295.921,0.92120,1.35828,0.96864
296.010,0.92932,-0.58667,1.59571
296.080,3.01499,-0.93031,-0.41271
296.164,-0.65151,1.08811,-0.56031
296.241,0.72078,0.13939,-1.93954
296.324,-1.23248,-0.84982,-0.29463
296.405,-1.46239,0.73507,-1.63524
296.488,-0.72911,2.93927,0.02115
296.563,0.96138,-1.00889,4.43027
296.639,1.00608,-0.11472,-0.91411
296.720,0.89146,-0.40598,-1.99432
296.807,-0.09123,-1.43874,-0.86331
296.873,-0.26674,0.55895,-1.72447
296.957,0.30531,1.28101,-0.84386
297.038,3.06642,1.92141,4.36238
297.136,3.40510,-0.42239,2.50746
297.216,1.00634,-1.64113,0.37741
297.296,1.29286,-1.70790,-2.24879
297.373,0.94624,-1.34752,0.53470
297.456,1.34755,-0.82078,1.05790
297.533,1.75401,-0.31624,-0.02348
297.615,2.15781,-1.18995,2.60137
297.698,2.76694,-2.50417,0.00220
297.772,0.76201,-1.44209,0.82388
297.851,2.06458,-1.22543,-2.22538
