Timestamp, Data Source, Data, Display Value, Raw Value
"2017-03-12T17:06:01Z", GPS, Vertical Accuracy, 10 Meters, 10.0
"2017-03-12T17:06:01Z", Magnetometer (corrected for device), x, 25.261962890625, 25.261962890625
"2017-03-12T17:06:01Z", Magnetometer (corrected for device), y, -33.00894165039062, -33.0089416503906
"2017-03-12T17:06:01Z", Magnetometer (corrected for device), z, -23.528076171875, -23.528076171875
"2017-03-12T17:06:01Z", Magnetometer (corrected for device), Estimated Accuracy, High, High
"2017-03-12T17:06:01Z", Attitude, Roll, 0.1788377670549284, 0.178837767054928
"2017-03-12T17:06:01Z", Attitude, Yaw, -0.04072963843527196, -0.040729638435272
"2017-03-12T17:06:01Z", Attitude, Pitch, 0.3941263464501512, 0.394126346450151
"2017-03-12T17:06:01Z", Attitude, Quarternion w, 0.9768814307326362, 0.976881430732636
"2017-03-12T17:06:01Z", Attitude, Quarternion x, 0.1967507877502447, 0.196750787750245
"2017-03-12T17:06:01Z", Attitude, Quarternion y, 0.08358225860969663, 0.0835822586096966
"2017-03-12T17:06:01Z", Attitude, Quarternion z, -0.002409119157919068, -0.00240911915791907
"2017-03-12T17:06:01Z", Acceleration (via Gravity), x, 0.1642479002475739, 0.164247900247574
"2017-03-12T17:06:01Z", Acceleration (via Gravity), y, -0.3840016722679138, -0.384001672267914
"2017-03-12T17:06:01Z", Acceleration (via Gravity), z, -0.9086062908172607, -0.908606290817261
"2017-03-12T17:06:01Z", Acceleration (via User), x, -0.001894389279186726, -0.00189438927918673
"2017-03-12T17:06:01Z", Acceleration (via User), y, -0.002366135129705071, -0.00236613512970507
"2017-03-12T17:06:01Z", Acceleration (via User), z, 0.005255436990410089, 0.00525543699041009
"2017-03-12T17:06:01Z", Acceleration (total), x, 0.1623535109683871, 0.162353510968387
"2017-03-12T17:06:01Z", Acceleration (total), y, -0.3863678073976189, -0.386367807397619
"2017-03-12T17:06:01Z", Acceleration (total), z, -0.9033508538268507, -0.903350853826851
"2017-03-12T17:06:01Z", Gyrometer (smooth), x, 0.02179497107863426, 0.0217949710786343
"2017-03-12T17:06:01Z", Gyrometer (smooth), y, -0.005880992393940687, -0.00588099239394069
"2017-03-12T17:06:01Z", Gyrometer (smooth), z, 0.0007345260819420218, 0.000734526081942022
"2017-03-12T17:06:01Z", Device, Model, iPhone, iPhone
"2017-03-12T17:06:01Z", Device, Name, Kyle Gallatin’s iPhone, Kyle Gallatin’s iPhone
"2017-03-12T17:06:01Z", Device, OS Name, iOS, iOS
"2017-03-12T17:06:01Z", Device, iOS Version, 10.2.1, 10.2.1
"2017-03-12T17:06:01Z", Device, Audio Output Method, Speaker, Speaker
